t,exp_vol,blackout
0,1000,false
1,1000,false
2,1000,false
3,1000,false
4,1000,false
5,1000,false
6,1000,false
7,1000,false
8,1000,false
9,1000,false
10,1000,false
11,1000,false
12,1000,false
13,1000,false
14,1000,false
15,1000,false
16,1000,false
17,1000,false
18,1000,false
19,1000,false
20,1000,false
21,1000,false
22,1000,false
23,1000,false
24,1000,false
25,1000,false
26,1000,false
27,1000,false
28,1000,false
29,1000,false
30,1000,false
31,1000,false
32,1000,false
33,1000,false
34,1000,false
35,1000,false
36,1000,false
37,1000,false
38,1000,false
39,1000,false
40,1000,false
41,1000,false
42,1000,false
43,1000,false
44,1000,false
45,1000,false
46,1000,false
47,1000,false
48,1000,false
49,1000,false
50,1000,false
51,1000,false
52,1000,false
53,1000,false
54,1000,false
55,1000,false
56,1000,false
57,1000,false
58,1000,false
59,1000,false
60,1000,false
61,1000,false
62,1000,false
63,1000,false
64,1000,false
65,1000,false
66,1000,false
67,1000,false
68,1000,false
69,1000,false
70,1000,false
71,1000,false
72,1000,false
73,1000,false
74,1000,false
75,1000,false
76,1000,false
77,1000,false
78,1000,false
79,1000,false
80,1000,false
81,1000,false
82,1000,false
83,1000,false
84,1000,false
85,1000,false
86,1000,false
87,1000,false
88,1000,false
89,1000,false
90,1000,false
91,1000,false
92,1000,false
93,1000,false
94,1000,false
95,1000,false
96,1000,false
97,1000,false
98,1000,false
99,1000,false
